Lunes,Martes,Miercoles,Jueves,Viernes
1.04381814774e+11,4.36358577738e+11,0.0,85451528151.0,1.81511150193e+11
4.37068330875e+11,45943121.4163,1.68602029494e+11,2.64060358871e+11,3.38399332993e+11
3.83313001266e+11,87789422.3759,2.73131753476e+11,1.18800805642e+11,4.96751150995e+11
2.91641909036e+11,91955697832.0,2.57101935199e+11,1.68794151011e+11,8705914.22084
2.55943198867e+11,40957769.8207,170647269.32,151544850.72,2.00120128984e+11
2.35849310098e+11,31792983.1226,6.48731817907e+11,74339372.9985,1.90410862996e+11
1.51364365524e+11,1.51741372201e+11,161211025.14,4.08115008396e+11,2.00536966713e+11
6.69277491242e+11,1.24192420479e+11,4.70600738796e+11,1.20811677563e+11,2.70764408812e+11
136217852.89,4.06835569794e+11,1.53313906085e+11,1.36085324978e+11,1.26370534663e+11
2.52610850208e+11,2.94916721399e+11,1.66553574648e+11,1.79491891848e+11,3.56886672564e+11
6.51491750633e+11,2.00859221507e+11,4.96618292719e+11,7.56899825801e+11,1.44202994074e+11
1.10814958534e+11,2.75346460894e+11,1.42664463885e+11,2.18734437188e+11,1.44474160014e+11
1.95200780281e+11,6.87705124904e+11,74798644.1507,1.28491172164e+11,3.80178418591e+11
6.31407251219e+11,1.23354760701e+11,3.88771545184e+11,1.77300354647e+11,1.32731635022e+11
332227655.73,2.57552268813e+11,35121443.2445,1.10669173034e+11,53362104.6931
49210357.5837,97218842.5177,50686479.6946,84275297.37,6.37547435329e+11
1.76504056423e+11,2.46042309502e+11,39341119.0218,29021422.6575,2.15979355595e+11
4.76369014895e+11,1.61837752741e+11,37957718.7848,1.90031115633e+11,1.71866171614e+11
26830824.0753,0.0,2.63588646407e+11,2.06573951949e+11,4.00816485756e+11
4.25739624374e+11,2.37173087852e+11,64703882.5722,1.70996742553e+11,1.70760340791e+11
4.46596477386e+11,1.16135466557e+11,3.24243151997e+11,44548562.7767,68093016.3271
2.24602873435e+11,98335608.5775,237443841.74,4.38288502361e+11,86868728.0878
28352122.0418,2.84412644167e+11,1.11313194299e+11,2.66515549559e+11,2.93309546798e+11
40957311.7469,2.59324923983e+11,27168335.0292,242304880.7,1.38577797742e+11
1.16460966077e+11,77152069.4476,99498147.4933,64868946.9051,4.01045600858e+11
65497690.4755,1.44803661572e+11,3.55677079747e+11,7.87141205364e+11,118919983.05
2.04521971306e+11,44968492.9258,71514926.2082,4233907.1803,2.04963364023e+11
21923893.8884,141708884.68,2.95590928261e+11,220611747.49,33468962.1076
2.21566357771e+11,1052827746.82,1.07422180758e+11,25065125.2299,1.22847095366e+11
3.87722555588e+11,1.24910417008e+11,107265010.96,3.01394044435e+11,25583072.7643
1.13824408404e+11,1.84625686594e+11,328064357.96,44013628.7559,3.30719436786e+11
4.30320578521e+11,3.87366371965e+11,83462163.0998,1.03066300395e+11,28444056.8404
1.60593916589e+11,3.79316396264e+11,1.64324209501e+11,1.97520035424e+11,3.48963901293e+11
59123953.6272,22386415.5926,81510473.9419,27530422.4271,3.78405059506e+11
1014161983.86,1.79532454228e+11,3.37741387773e+11,1.16551524304e+11,23319908.1033
2.63747979266e+11,2.77537528942e+11,1.81181046889e+11,3161943.99703,38313455.5335
85304275.3591,37465392.9266,1.18516335784e+11,1.97586826779e+11,2.35937864226e+11
2.39518119503e+11,3465753.31132,77170686.3937,98910066.4998,2.75477132029e+11
64996038.1465,2.40361068908e+11,46640772.4511,1.37151558993e+11,2.00042546647e+11
1.00015051103e+11,1.43895825222e+11,1.84027883477e+11,146140205.77,1.59990680626e+11
78823874.4401,243688990.51,0.0,1.04148644985e+11,1.66985316808e+11
3.27633213935e+11,3.92212517154e+11,2.27872381282e+11,99920991.2582,1.65856470711e+11
54153372.8637,1.24461715284e+11,1.15772967592e+11,13702131.7212,45589361.1704
2.82804583117e+11,1.01945801237e+11,1.39803556055e+11,2.11953757143e+11,1.66088061762e+11
72765068.6092,64907944.1389,8.15956748389e+11,68945406.6235,4.12682994724e+11
1.68230454835e+11,3.85865023177e+11,1.15849713897e+11,1.30292949947e+11,1428244.92083
