X1,Y1,X2,Y2,Subpoints_origin,Subpoints_destiny,Distance,Duration,Elevation
,,,,"[4.8031713, -75.7260234]","[4.8043065, -75.7273999]",212.0,28.0,0.2817668454955632
,,,,"[4.8043065, -75.7273999]","[4.8052835, -75.7280734]",145.0,18.0,3.932435301093678
,,,,"[4.8052835, -75.7280734]","[4.805359999999999, -75.73082]",332.0,58.0,2.9264021521682513
,,,,"[4.805359999999999, -75.73082]","[4.805819899999999, -75.731314]",75.0,26.0,2.5532448494245177
,,,,"[4.805819899999999, -75.731314]","[4.8035185, -75.737251]",813.0,102.0,1.2059417321313057
,,,,"[4.8035185, -75.737251]","[4.804289799999999, -75.7381734]",139.0,59.0,2.0854229387140775
,,,,"[4.804289799999999, -75.7381734]","[4.8050488, -75.7386795]",104.0,30.0,2.3998624649707985
,,,,"[4.8050488, -75.7386795]","[4.8075431, -75.76413120000001]",3576.0,339.0,1.2274893633013924
,,,,"[4.8075431, -75.76413120000001]","[4.806814, -75.764979]",142.0,40.0,0.67460235025455
,,,,"[4.806814, -75.764979]","[4.806813099999999, -75.7645701]",61.0,23.0,2.3780750983233228
4.75261938397326,-75.6783031824228,4.80646235752102,-75.7647239178221,"[4.7525338, -75.6782783]","[4.753288, -75.6749323]",435.0,65.0,1.6748218638945276
,,,,"[4.753288, -75.6749323]","[4.745333599999999, -75.6653393]",1678.0,161.0,2.624321098411096
,,,,"[4.745333599999999, -75.6653393]","[4.787929099999999, -75.74251380000001]",10650.0,578.0,2.416389727894459
,,,,"[4.787929099999999, -75.74251380000001]","[4.8000959, -75.7580686]",2258.0,152.0,1.264827714494593
,,,,"[4.8000959, -75.7580686]","[4.8015531, -75.759079]",267.0,33.0,4.085097016820827
,,,,"[4.8015531, -75.759079]","[4.8075431, -75.76413120000001]",905.0,74.0,0.6452876958988318
,,,,"[4.8075431, -75.76413120000001]","[4.806814, -75.764979]",142.0,40.0,0.67460235025455
,,,,"[4.806814, -75.764979]","[4.8067112, -75.7648245]",30.0,17.0,2.434359751685187
4.791209701786,-75.700593768555,4.809093145587308,-75.7016072902487,"[4.7912647, -75.7004053]","[4.7965332, -75.7029198]",657.0,115.0,4.8641343540772315
,,,,"[4.7965332, -75.7029198]","[4.8000904, -75.7055673]",504.0,111.0,0.7118371141027034
,,,,"[4.8000904, -75.7055673]","[4.8018481, -75.7040811]",444.0,72.0,11.648765328121035
,,,,"[4.8018481, -75.7040811]","[4.8056702, -75.7004128]",680.0,80.0,4.749805569985304
,,,,"[4.8056702, -75.7004128]","[4.8052325, -75.6983109]",245.0,28.0,1.9105387720209948
,,,,"[4.8052325, -75.6983109]","[4.806725, -75.700653]",356.0,44.0,0.7740600438827521
,,,,"[4.806725, -75.700653]","[4.8074406, -75.7007294]",85.0,14.0,5.985178259180548
,,,,"[4.8074406, -75.7007294]","[4.8073789, -75.7001209]",68.0,12.0,1.1087485731301472
,,,,"[4.8073789, -75.7001209]","[4.807804, -75.700064]",48.0,10.0,4.000383860923292
,,,,"[4.807804, -75.700064]","[4.8083152, -75.7042682]",471.0,93.0,0.6088264948081344
,,,,"[4.8083152, -75.7042682]","[4.8111707, -75.7039155]",321.0,102.0,1.839952838842452
,,,,"[4.8111707, -75.7039155]","[4.8103984, -75.70134279999999]",302.0,61.0,0.6529440925515341
,,,,"[4.8103984, -75.70134279999999]","[4.809347199999999, -75.7015479]",119.0,41.0,4.165204128564727
4.78365998497932,-75.69782841894221,4.78521342236168,-75.725074989567,"[4.7835566, -75.6979679]","[4.745333599999999, -75.6653393]",6398.0,504.0,2.7287387085489523
,,,,"[4.745333599999999, -75.6653393]","[4.7815128, -75.72129029999999]",8121.0,434.0,2.5159519619263664
,,,,"[4.7815128, -75.72129029999999]","[4.7815949, -75.7201059]",159.0,34.0,0.08628463169361356
,,,,"[4.7815949, -75.7201059]","[4.784975699999999, -75.7251536]",709.0,87.0,2.627155326824889
