X1,Y1,X2,Y2,Subpoints_origin,Subpoints_destiny,Distance,Duration,Elevation
,,,,"[4.8097861, -75.73492999999999]","[4.8090249, -75.73551270000002]",107.0,22.0,4.062548292681765
,,,,"[4.8090249, -75.73551270000002]","[4.8083938, -75.735947]",85.0,19.0,1.555440043808088
,,,,"[4.8083938, -75.735947]","[4.8082246, -75.7365769]",78.0,13.0,1.1503642086875983
,,,,"[4.8082246, -75.7365769]","[4.8073503, -75.7370917]",113.0,22.0,1.793663142618589
,,,,"[4.8073503, -75.7370917]","[4.8066637, -75.73934400000002]",265.0,50.0,1.4023469194173124
,,,,"[4.8066637, -75.73934400000002]","[4.806391899999999, -75.7391339]",38.0,13.0,4.89320333361641
4.81051618977696,-75.7051268178614,4.8178553437054505,-75.76623692944659,"[4.81036, -75.70486]","[4.8089493, -75.70537139999999]",167.0,62.0,0.8594400596784526
,,,,"[4.8089493, -75.70537139999999]","[4.8084889, -75.7002321]",589.0,135.0,0.20288073727407174
,,,,"[4.8084889, -75.7002321]","[4.8075351, -75.70070419999999]",119.0,25.0,1.3297221921294846
,,,,"[4.8075351, -75.70070419999999]","[4.806986800000001, -75.7015437]",113.0,20.0,4.094166755674711
,,,,"[4.806986800000001, -75.7015437]","[4.8065335, -75.7029438]",164.0,18.0,1.5628311377136954
,,,,"[4.8065335, -75.7029438]","[4.8081035, -75.7080253]",608.0,59.0,0.053129829817531865
,,,,"[4.8081035, -75.7080253]","[4.80821, -75.70912969999999]",123.0,19.0,1.8468299748496977
,,,,"[4.80821, -75.70912969999999]","[4.8079767, -75.7107323]",180.0,28.0,2.08808630527218
,,,,"[4.8079767, -75.7107323]","[4.8146382, -75.71897299999999]",1271.0,150.0,1.0257526350551582
,,,,"[4.8146382, -75.71897299999999]","[4.8151567, -75.7189199]",58.0,11.0,6.083996192443031
,,,,"[4.8151567, -75.7189199]","[4.8152842, -75.72089360000001]",222.0,42.0,2.4740879796313626
,,,,"[4.8152842, -75.72089360000001]","[4.8159407, -75.72240980000001]",351.0,56.0,1.3505131209154455
,,,,"[4.8159407, -75.72240980000001]","[4.8132876, -75.7656791]",5100.0,378.0,1.0363963974929613
,,,,"[4.8132876, -75.7656791]","[4.8133269, -75.7670851]",190.0,20.0,2.713176302742688
,,,,"[4.8133269, -75.7670851]","[4.8141943, -75.76579250000002]",175.0,15.0,1.9033251888601261
,,,,"[4.8141943, -75.76579250000002]","[4.81643, -75.766806]",541.0,92.0,15.078607803676917
4.81026147630767,-75.7468687673705,4.81101464280911,-75.73861024836779,"[4.8115254, -75.7469959]","[4.8099669, -75.7500848]",397.0,84.0,1.0679198198102315
,,,,"[4.8099669, -75.7500848]","[4.8066442, -75.7523937]",467.0,62.0,2.7395948961388363
,,,,"[4.8066442, -75.7523937]","[4.8089872, -75.7509504]",523.0,77.0,3.4452674189284855
,,,,"[4.8089872, -75.7509504]","[4.8111787, -75.7386993]",1437.0,140.0,0.8087140637295176
4.80360725733812,-75.6996755960197,4.7911052209851785,-75.7378451755455,"[4.803792, -75.6999412]","[4.8037934, -75.7003332]",44.0,7.0,6.73148726046125
,,,,"[4.8037934, -75.7003332]","[4.8043206, -75.700335]",61.0,34.0,3.1795134765031667
,,,,"[4.8043206, -75.700335]","[4.8056702, -75.7004128]",177.0,39.0,0.8702651465291179
,,,,"[4.8056702, -75.7004128]","[4.8052325, -75.6983109]",245.0,28.0,1.9105387720209948
,,,,"[4.8052325, -75.6983109]","[4.8065335, -75.7029438]",624.0,69.0,0.7716635626247899
,,,,"[4.8065335, -75.7029438]","[4.8081035, -75.7080253]",608.0,59.0,0.053129829817531865
,,,,"[4.8081035, -75.7080253]","[4.80821, -75.70912969999999]",123.0,19.0,1.8468299748496977
,,,,"[4.80821, -75.70912969999999]","[4.807469, -75.723334]",1683.0,186.0,2.393907781296225
,,,,"[4.807469, -75.723334]","[4.8090249, -75.73551270000002]",1629.0,161.0,1.139675664689735
,,,,"[4.8090249, -75.73551270000002]","[4.7999452, -75.742914]",1310.0,226.0,0.023234423887608505
